gid_0,gid_1,outcome,predicted,predicted_error,date
AFG,AFG.4_1,mobile_women,43.54,9.98,2016-01
AFG,AFG.4_1,mobile_men,92.95,6.03,2016-01
AFG,AFG.4_1,mobile_fm_ratio,0.43,0.11,2016-01
AFG,AFG.4_1,internet_women,18.73,6.14,2016-01
AFG,AFG.4_1,internet_men,37.4,8.47,2016-01
AFG,AFG.4_1,internet_fm_ratio,0.33,0.09,2016-01
AFG,AFG.4_1,mobile_women,45.59,9.97,2017-01
AFG,AFG.4_1,mobile_men,93.46,6.03,2017-01
AFG,AFG.4_1,mobile_fm_ratio,0.46,0.11,2017-01
AFG,AFG.4_1,internet_women,19.16,6.17,2017-01
AFG,AFG.4_1,internet_men,38.09,8.45,2017-01
AFG,AFG.4_1,internet_fm_ratio,0.34,0.09,2017-01
AFG,AFG.4_1,mobile_women,47.77,9.95,2018-01
AFG,AFG.4_1,mobile_men,93.59,6.04,2018-01
AFG,AFG.4_1,mobile_fm_ratio,0.5,0.11,2018-01
AFG,AFG.4_1,internet_women,20.4,6.19,2018-01
AFG,AFG.4_1,internet_men,39.56,8.41,2018-01
AFG,AFG.4_1,internet_fm_ratio,0.35,0.1,2018-01
AFG,AFG.4_1,mobile_women,48.65,9.89,2019-06
AFG,AFG.4_1,mobile_men,94.31,6.02,2019-06
AFG,AFG.4_1,mobile_fm_ratio,0.53,0.11,2019-06
AFG,AFG.4_1,internet_women,22.83,5.89,2019-06
AFG,AFG.4_1,internet_men,41.52,8.31,2019-06
AFG,AFG.4_1,internet_fm_ratio,0.36,0.09,2019-06
AFG,AFG.4_1,mobile_women,47.34,9.97,2020-06
AFG,AFG.4_1,mobile_men,88.18,6.04,2020-06
AFG,AFG.4_1,mobile_fm_ratio,0.51,0.11,2020-06
AFG,AFG.4_1,internet_women,23.68,6.41,2020-06
AFG,AFG.4_1,internet_men,42.18,8.44,2020-06
AFG,AFG.4_1,internet_fm_ratio,0.36,0.1,2020-06
AFG,AFG.4_1,mobile_women,49,10.03,2021-06
AFG,AFG.4_1,mobile_men,83.06,6.05,2021-06
AFG,AFG.4_1,mobile_fm_ratio,0.52,0.11,2021-06
AFG,AFG.4_1,internet_women,24.49,6.67,2021-06
AFG,AFG.4_1,internet_men,42.51,8.36,2021-06
AFG,AFG.4_1,internet_fm_ratio,0.38,0.1,2021-06
AFG,AFG.4_1,mobile_women,42.94,9.85,2022-06
AFG,AFG.4_1,mobile_men,74.66,6.05,2022-06
AFG,AFG.4_1,mobile_fm_ratio,0.45,0.11,2022-06
AFG,AFG.4_1,internet_women,21.11,6.25,2022-06
AFG,AFG.4_1,internet_men,39.86,7.69,2022-06
AFG,AFG.4_1,internet_fm_ratio,0.31,0.09,2022-06
AFG,AFG.4_1,mobile_women,42.46,9.7,2023-06
AFG,AFG.4_1,mobile_men,74.06,6.05,2023-06
AFG,AFG.4_1,mobile_fm_ratio,0.46,0.11,2023-06
AFG,AFG.4_1,internet_women,20.13,5.94,2023-06
AFG,AFG.4_1,internet_men,39.29,7.6,2023-06
AFG,AFG.4_1,internet_fm_ratio,0.32,0.09,2023-06
AFG,AFG.4_1,mobile_women,44.59,10.02,2024-01
AFG,AFG.4_1,mobile_men,76.05,6.05,2024-01
AFG,AFG.4_1,mobile_fm_ratio,0.46,0.11,2024-01
AFG,AFG.4_1,internet_women,22.94,6.32,2024-01
AFG,AFG.4_1,internet_men,41.85,7.67,2024-01
AFG,AFG.4_1,internet_fm_ratio,0.32,0.09,2024-01
AFG,AFG.4_1,mobile_women,45.18,10.11,2024-02
AFG,AFG.4_1,mobile_men,76.45,6.05,2024-02
AFG,AFG.4_1,mobile_fm_ratio,0.47,0.11,2024-02
AFG,AFG.4_1,internet_women,23.98,6.54,2024-02
AFG,AFG.4_1,internet_men,42.29,7.73,2024-02
AFG,AFG.4_1,internet_fm_ratio,0.32,0.09,2024-02
AFG,AFG.4_1,mobile_women,44.99,10.08,2024-03
AFG,AFG.4_1,mobile_men,76.38,6.05,2024-03
AFG,AFG.4_1,mobile_fm_ratio,0.47,0.11,2024-03
AFG,AFG.4_1,internet_women,23.81,6.41,2024-03
AFG,AFG.4_1,internet_men,42.17,7.69,2024-03
