gid_0,outcome,predicted,predicted_error,date
NER,internet_women,0.147,0.294,2024-06
NER,internet_men,0.319,0.265,2024-06
NER,mobile_fm_ratio,0.669,0.04,2024-06
NER,mobile_women,0.545,1.026,2024-06
NER,mobile_men,0.665,0.07,2024-06
MYS,internet_fm_ratio,0.982,0.042,2024-06
MYS,internet_women,0.967,2.776,2024-06
MYS,internet_men,0.98,1.842,2024-06
MYS,mobile_fm_ratio,0.983,0.039,2024-06
MYS,mobile_women,0.951,1.098,2024-06
MYS,mobile_men,0.97,0.087,2024-06
MWI,internet_fm_ratio,0.532,0.06,2024-06
MWI,internet_women,0.199,0.287,2024-06
MWI,internet_men,0.363,0.263,2024-06
MWI,mobile_fm_ratio,0.737,0.043,2024-06
MWI,mobile_women,0.559,0.791,2024-06
MWI,mobile_men,0.572,0.089,2024-06
MUS,internet_fm_ratio,0.976,0.039,2024-06
MUS,internet_women,0.723,2.379,2024-06
MUS,internet_men,0.734,1.589,2024-06
MUS,mobile_fm_ratio,0.974,0.04,2024-06
MUS,mobile_women,0.83,0.505,2024-06
MUS,mobile_men,0.842,0.087,2024-06
MRT,internet_fm_ratio,0.714,0.064,2024-06
MRT,internet_women,0.435,0.676,2024-06
MRT,internet_men,0.58,0.513,2024-06
MRT,mobile_fm_ratio,0.837,0.04,2024-06
MRT,mobile_women,0.73,1.606,2024-06
MRT,mobile_men,0.815,0.075,2024-06
MOZ,internet_fm_ratio,0.658,0.066,2024-06
MOZ,internet_women,0.178,0.269,2024-06
MOZ,internet_men,0.22,0.249,2024-06
MOZ,mobile_fm_ratio,0.777,0.045,2024-06
MOZ,mobile_women,0.409,0.99,2024-06
MOZ,mobile_men,0.539,0.08,2024-06
MNG,internet_fm_ratio,0.999,0.052,2024-06
MNG,internet_women,0.802,1.15,2024-06
MNG,internet_men,0.824,0.814,2024-06
MNG,mobile_fm_ratio,1.013,0.042,2024-06
MNG,mobile_women,0.872,1.686,2024-06
MNG,mobile_men,0.858,0.095,2024-06
MNE,internet_fm_ratio,0.985,0.041,2024-06
MNE,internet_women,0.871,2.31,2024-06
MNE,internet_men,0.889,1.546,2024-06
MNE,mobile_fm_ratio,0.991,0.039,2024-06
MNE,mobile_women,0.934,1.819,2024-06
MNE,mobile_men,0.944,0.09,2024-06
MMR,internet_fm_ratio,0.913,0.046,2024-06
MMR,internet_women,0.451,0.525,2024-06
MMR,internet_men,0.505,0.414,2024-06
MMR,mobile_fm_ratio,0.953,0.041,2024-06
MMR,mobile_women,0.658,1.628,2024-06
MMR,mobile_men,0.718,0.091,2024-06
MLT,internet_fm_ratio,0.993,0.036,2024-06
MLT,internet_women,0.916,4.435,2024-06
MLT,internet_men,0.922,2.896,2024-06
MLT,mobile_fm_ratio,0.984,0.04,2024-06
MLT,mobile_women,0.926,0.422,2024-06
MLT,mobile_men,0.938,0.088,2024-06
MLI,internet_fm_ratio,0.483,0.075,2024-06
MLI,internet_women,0.203,0.36,2024-06
MLI,internet_men,0.376,0.306,2024-06
MLI,mobile_fm_ratio,0.665,0.04,2024-06
MLI,mobile_women,0.583,1.382,2024-06
MLI,mobile_men,0.811,0.068,2024-06
MKD,internet_fm_ratio,0.962,0.04,2024-06
MKD,internet_women,0.818,1.715,2024-06
MKD,internet_men,0.846,1.167,2024-06
MKD,mobile_fm_ratio,0.983,0.039,2024-06
MKD,mobile_women,0.908,1.625,2024-06
MKD,mobile_men,0.934,0.086,2024-06
MHL,internet_fm_ratio,1.012,0.05,2024-06
MHL,internet_women,0.612,0.806,2024-06
MHL,internet_men,0.632,0.593,2024-06
MHL,mobile_fm_ratio,0.967,0.042,2024-06
MHL,mobile_women,0.766,0.96,2024-06
MHL,mobile_men,0.762,0.085,2024-06
MEX,internet_fm_ratio,0.987,0.042,2024-06
MEX,internet_women,0.775,1.985,2024-06
MEX,internet_men,0.789,1.339,2024-06
MEX,mobile_fm_ratio,0.98,0.041,2024-06
MEX,mobile_women,0.789,0.699,2024-06
MEX,mobile_men,0.795,0.085,2024-06
MDV,internet_fm_ratio,1.174,0.043,2024-06
MDV,internet_women,0.92,1.966,2024-06
MDV,internet_men,0.792,1.335,2024-06
MDV,mobile_fm_ratio,0.985,0.041,2024-06
MDV,mobile_women,0.912,1.644,2024-06
MDV,mobile_men,0.943,0.086,2024-06
MDG,internet_fm_ratio,0.744,0.06,2024-06
MDG,internet_women,0.218,0.292,2024-06
MDG,internet_men,0.226,0.267,2024-06
MDG,mobile_fm_ratio,0.815,0.045,2024-06
MDG,mobile_women,0.428,0.67,2024-06
MDG,mobile_men,0.563,0.087,2024-06
MDA,internet_fm_ratio,0.997,0.042,2024-06
MDA,internet_women,0.773,1.385,2024-06
MDA,internet_men,0.772,0.958,2024-06
MDA,mobile_fm_ratio,1.004,0.041,2024-06
MDA,mobile_women,0.864,1.102,2024-06
MDA,mobile_men,0.845,0.098,2024-06
MAR,internet_fm_ratio,0.904,0.044,2024-06
MAR,internet_women,0.845,0.899,2024-06
MAR,internet_men,0.879,0.644,2024-06
MAR,mobile_fm_ratio,0.941,0.035,2024-06
MAR,mobile_women,0.846,1.932,2024-06
MAR,mobile_men,0.898,0.074,2024-06
LVA,internet_fm_ratio,1.018,0.04,2024-06
LVA,internet_women,0.918,3.238,2024-06
LVA,internet_men,0.899,2.137,2024-06
LVA,mobile_fm_ratio,1.003,0.04,2024-06
LVA,mobile_women,0.934,1.342,2024-06
LVA,mobile_men,0.927,0.094,2024-06
LUX,internet_fm_ratio,1.014,0.037,2024-06
LUX,internet_women,0.975,7.738,2024-06
LUX,internet_men,0.982,4.992,2024-06
LUX,mobile_fm_ratio,1.002,0.038,2024-06
LUX,mobile_women,0.935,1.009,2024-06
LUX,mobile_men,0.949,0.088,2024-06
LTU,internet_fm_ratio,1.011,0.038,2024-06
LTU,internet_women,0.881,3.822,2024-06
LTU,internet_men,0.87,2.507,2024-06
LTU,mobile_fm_ratio,1.004,0.04,2024-06
LTU,mobile_women,0.952,1.757,2024-06
LTU,mobile_men,0.952,0.094,2024-06
LSO,internet_fm_ratio,1.076,0.053,2024-06
LSO,internet_women,0.483,0.405,2024-06
LSO,internet_men,0.496,0.338,2024-06
LSO,mobile_fm_ratio,1.017,0.044,2024-06
LSO,mobile_women,0.797,0.675,2024-06
LSO,mobile_men,0.771,0.086,2024-06
LKA,internet_fm_ratio,0.921,0.044,2024-06
LKA,internet_women,0.521,1.284,2024-06
LKA,internet_men,0.567,0.895,2024-06
LKA,mobile_fm_ratio,0.985,0.039,2024-06
LKA,mobile_women,0.864,1.491,2024-06
LKA,mobile_men,0.915,0.086,2024-06
LIE,internet_fm_ratio,0.976,0.036,2024-06
LIE,internet_women,0.96,14.336,2024-06
LIE,internet_men,0.96,9.179,2024-06
LIE,mobile_fm_ratio,0.993,0.033,2024-06
LIE,mobile_women,0.946,1.378,2024-06
LIE,mobile_men,0.945,0.085,2024-06
LCA,internet_fm_ratio,1.047,0.039,2024-06
LCA,internet_women,0.736,1.56,2024-06
LCA,internet_men,0.77,1.071,2024-06
LCA,mobile_fm_ratio,1.02,0.042,2024-06
LCA,mobile_women,0.882,0.865,2024-06
LCA,mobile_men,0.847,0.09,2024-06
LBY,internet_fm_ratio,0.887,0.048,2024-06
LBY,internet_women,0.55,2.057,2024-06
LBY,internet_men,0.584,1.388,2024-06
LBY,mobile_fm_ratio,0.907,0.04,2024-06
LBY,mobile_women,0.839,1.556,2024-06
LBY,mobile_men,0.843,0.085,2024-06
LBR,internet_fm_ratio,0.611,0.06,2024-06
LBR,internet_women,0.315,0.274,2024-06
LBR,internet_men,0.417,0.25,2024-06
LBR,mobile_fm_ratio,0.818,0.043,2024-06
LBR,mobile_women,0.641,0.689,2024-06
LBR,mobile_men,0.705,0.082,2024-06
LBN,internet_fm_ratio,0.932,0.045,2024-06
LBN,internet_women,0.844,1.332,2024-06
LBN,internet_men,0.855,0.929,2024-06
LBN,mobile_fm_ratio,0.982,0.041,2024-06
LBN,mobile_women,0.901,2.126,2024-06
LBN,mobile_men,0.91,0.171,2024-06
LAO,internet_fm_ratio,0.876,0.046,2024-06
LAO,internet_women,0.494,0.879,2024-06
LAO,internet_men,0.629,0.631,2024-06
LAO,mobile_fm_ratio,0.902,0.041,2024-06
LAO,mobile_women,0.722,1.256,2024-06
LAO,mobile_men,0.803,0.097,2024-06
KWT,internet_fm_ratio,1.009,0.052,2024-06
KWT,internet_women,0.994,5.656,2024-06
KWT,internet_men,0.992,3.69,2024-06
KWT,mobile_fm_ratio,1.002,0.047,2024-06
KWT,mobile_women,0.988,2.504,2024-06
KWT,mobile_men,0.986,0.092,2024-06
KOR,internet_fm_ratio,0.986,0.03,2024-06
KOR,internet_women,0.969,4.568,2024-06
KOR,internet_men,0.975,2.972,2024-06
KOR,mobile_fm_ratio,0.98,0.035,2024-06
KOR,mobile_women,0.96,2.144,2024-06
KOR,mobile_men,0.976,0.082,2024-06
KIR,internet_fm_ratio,0.999,0.055,2024-06
KIR,internet_women,0.57,0.484,2024-06
KIR,internet_men,0.585,0.392,2024-06
